KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA0,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA0,2023-10-20,1.3848100718,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 0 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 0 - provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA1,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA1,2023-10-20,2.3602370139,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 1 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 1 - provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA2,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA2,2023-10-20,2.2662490337,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 2 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 2 - provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA3,B,U2,EUR,4F,G_N_A,SV_C_YM,BETA3,2023-10-20,5.4756376814,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve parameters, Beta 3 - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve parameters, Beta 3 - provided by ECB",PURE_NUMB,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10M,2023-10-20,3.2045611949,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y,2023-10-20,3.3140762852,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y10M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y10M,2023-10-20,3.3507975963,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 10-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 10-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y11M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y11M,2023-10-20,3.353836111,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 11-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y1M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y1M,2023-10-20,3.3182861427,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 1-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 1-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y2M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y2M,2023-10-20,3.3223730112,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 2-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 2-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y3M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y3M,2023-10-20,3.3263382184,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 3-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 3-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y4M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y4M,2023-10-20,3.3301830825,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 4-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 4-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y5M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y5M,2023-10-20,3.3339089115,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 5-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 5-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y6M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y6M,2023-10-20,3.3375170032,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 6-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 6-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y7M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y7M,2023-10-20,3.3410086453,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 7-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 7-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y8M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y8M,2023-10-20,3.3443851151,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 8-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 8-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y9M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_10Y9M,2023-10-20,3.3476476799,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 10-year 9-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 10-year 9-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11M,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11M,2023-10-20,3.131863245,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-month residual maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-month residual maturity - provided by ECB",PCPA,0
YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_11Y,B,U2,EUR,4F,G_N_A,SV_C_YM,IF_11Y,2023-10-20,3.35676446,A,F,,,P1D,,E,,,,,,,,,,,,,,,,,6,,,"Yield curve instantaneous forward rate, 11-year maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition)","Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve instantaneous forward rate, 11-year maturity - provided by ECB",PCPA,0
